Date	,Power Consumption-(kWh)	
2026-01-01	,1.492	
2026-01-02	,0.567	
2026-01-03	,0.087	
2026-01-04	,2.459	
2026-01-05	,1.749	
2026-01-06	,0.013	
2026-01-07	,0.831	
2026-01-08	,0.895	
2026-01-09	,0.943	
2026-01-10	,1.648	
2026-01-11	,0.614	
2026-01-12	,0.279	
2026-01-13	,0.180	
2026-01-14	,0.147	
2026-01-15	,0.224	
2026-01-16	,0.583	
2026-01-17	,0.606	
2026-01-18	,0.509	
2026-01-19	,0.760	
2026-01-20	,0.869	
2026-01-21	,0.217	
2026-01-22	,0.728	
2026-01-23	,0.787	
2026-01-24	,0.710	
2026-01-25	,2.425	
2026-01-26	,0.777	
2026-01-27	,0.789	
2026-01-28	,0.709	
2026-01-29	,1.095	
2026-01-30	,0.775	
2026-01-31	,1.069	
2026-02-01	,1.700	
2026-02-02	,0.989	
2026-02-03	,0.773	
2026-02-04	,0.255	
2026-02-05	,1.027	
2026-02-06	,0.622	
2026-02-07	,0.013	
2026-02-08	,0.260	
2026-02-09	,0.763	
2026-02-10	,0.736	
2026-02-11	,0.788	
2026-02-12	,0.558	
2026-02-13	,0.986	
2026-02-14	,0.289	
2026-02-15	,0.644	
2026-02-16	,0.932	
2026-02-17	,0.976	
2026-02-18	,0.849	
2026-02-19	,0.748	
